record_id,state,account_length,phone_number,international_plan,voice_mail_plan,number_vmail_messages,customer_service_calls,churn
0,KS,128,415-382-4657,no,yes,25,1,0
1,OH,107,415-371-7191,no,yes,26,1,0
2,NJ,137,415-358-1921,no,no,0,0,0
3,OH,84,408-375-9999,yes,no,0,2,0
4,OK,75,415-330-6626,yes,no,0,3,0
5,AL,118,510-391-8027,yes,no,0,0,0
6,MA,121,510-355-9993,no,yes,24,3,0
7,MO,147,415-329-9001,yes,no,0,0,0
8,LA,117,408-335-4719,no,no,0,1,0
9,WV,141,415-330-8173,yes,yes,37,0,0
10,IN,65,415-329-6603,no,no,0,4,1
11,RI,74,415-344-9403,no,no,0,0,0
12,IA,168,408-363-1107,no,no,0,1,0
13,MT,95,510-394-8006,no,no,0,3,0
14,IA,62,415-366-9238,no,no,0,4,0
15,NY,161,415-351-7269,no,no,0,4,1
16,ID,85,408-350-8884,no,yes,27,1,0
17,VT,93,510-386-2923,no,no,0,3,0
18,VA,76,510-356-2992,no,yes,33,1,0
19,TX,73,415-373-2782,no,no,0,1,0
20,FL,147,415-396-5800,no,no,0,0,0
21,CO,77,408-393-7984,no,no,0,5,1
22,AZ,130,415-358-1958,no,no,0,0,0
23,SC,111,415-350-2565,no,no,0,2,0
24,VA,132,510-343-4696,no,no,0,0,0
25,NE,174,415-331-3698,no,no,0,3,0
26,WY,57,408-357-3817,no,yes,39,0,0
27,MT,54,408-418-6412,no,no,0,3,0
28,MO,20,415-353-2630,no,no,0,0,0
29,HI,49,510-410-7789,no,no,0,1,0
30,IL,142,415-416-8428,no,no,0,2,0
31,NH,75,510-370-3359,no,no,0,1,0
32,LA,172,408-383-1121,no,no,0,3,0
33,AZ,12,408-360-1596,no,no,0,1,1
34,OK,57,408-395-2854,no,yes,25,0,0
35,GA,72,415-362-1407,no,yes,37,3,0
36,AK,36,408-341-9764,no,yes,30,0,0
37,MA,78,415-353-3305,no,no,0,1,0
38,AK,136,415-402-1381,yes,yes,33,3,0
39,NJ,149,408-332-9891,no,no,0,1,0
40,GA,98,408-372-9976,no,no,0,3,0
41,MD,135,408-383-6029,yes,yes,41,0,1
42,AR,34,510-353-7289,no,no,0,2,0
43,ID,160,415-390-7274,no,no,0,3,0
44,WI,64,510-352-1237,no,no,0,1,0
45,OR,59,408-353-3061,no,yes,28,2,0
46,MI,65,415-363-5450,no,no,0,3,0
47,DE,142,408-364-1995,no,no,0,2,0
48,ID,119,415-398-1294,no,no,0,5,1
49,WY,97,415-405-7146,no,yes,24,1,0
50,IA,52,408-413-4957,no,no,0,3,0
51,IN,60,408-420-5645,no,no,0,1,0
52,VA,10,408-349-4396,no,no,0,2,0
53,UT,96,415-404-3211,no,no,0,2,0
54,WY,87,415-353-3759,no,no,0,5,1
55,IN,81,408-363-5947,no,no,0,1,0
56,CO,141,415-340-5121,no,no,0,1,0
57,CO,121,408-370-7574,no,yes,30,3,1
58,WI,68,415-403-9733,no,no,0,3,0
59,OK,125,408-355-7251,no,no,0,1,0
60,ID,174,408-359-5893,no,no,0,1,0
61,CA,116,415-405-3371,no,yes,34,2,0
62,MN,74,510-344-5117,no,yes,33,2,0
63,SD,149,408-332-8160,no,yes,28,3,0
64,NC,38,408-359-4081,no,no,0,2,0
65,WA,40,415-352-8305,no,yes,41,2,0
66,WY,43,415-329-9847,yes,no,0,0,0
